区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
2,横田,SPL-2944-204KA2500,1.0,1,AO-SPL-2944-204KA2500,1.0,1.0,L-SPL-2944-204KA2500,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,K-24801BC,1.0,1,PL-K-24801BC,1.0,1.0,L-K-24801BC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,1151-202BA0280,1.0,1,L-1151-202BA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,1151-202AA0280,1.0,1,L-1151-202AA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,1151-201AA0280,1.0,1,L-1151-201AA0280,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,TS-5509-270EA1333-1,1.0,1,L-TS-5509-270EA1333-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-271EA,1.0,1,PL-100-271EA,1.0,1.0,L-100-271EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1680-1,1.0,1,L-100-270EA1680-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1587-1,1.0,1,L-100-270EA1587-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1531-1,1.0,1,L-100-270EA1531-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1411-1,1.0,1,L-100-270EA1411-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1333-1,1.0,1,L-100-270EA1333-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,SPL-2944-204JA2500,1.0,1,AO-SPL-2944-204JA2500,1.0,1.0,L-SPL-2944-204JA2500,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1150-1,1.0,1,L-100-270EA1150-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1240-1,1.0,1,L-100-270EA1240-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,K-26719HB,1.0,1,PA-K-26719HB,1.0,1.0,L-K-26719HB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-201E0290,1.0,1,AO-100-201E0290,1.0,1.0,L-100-201E0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-202EC0290,1.0,1,AO-100-202EC0290,1.0,1.0,L-100-202EC0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-202F0290,1.0,1,AO-100-202F0290,1.0,1.0,L-100-202F0290,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA0700-1,1.0,1,L-100-270EA0700-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA0800-1,1.0,1,L-100-270EA0800-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA0930-1,1.0,1,L-100-270EA0930-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA1081-1,1.0,1,L-100-270EA1081-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2,横田,100-270EA0490-1,1.0,1,L-100-270EA0490-1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-30606DC,1.0,1,MC-K-30606DC,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
